6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
6,6,28,29,6,6,28,29,6,6,28,29,6,6,28,29,6,6,28,29,6,6
6,6,38,39,6,6,38,39,6,6,38,39,6,6,38,39,6,6,38,39,6,6
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
