4,41,41,41,41,41,41,41,41,41,41,41,41,3,3,3,3,3,3,3,3,3
5,0,0,0,0,0,0,0,0,0,0,0,0,43,3,3,41,41,41,0,0,3
5,0,0,0,0,0,0,0,0,0,0,0,0,43,3,42,0,0,0,0,0,0
4,0,0,0,3,3,40,40,40,40,40,0,0,43,3,42,0,0,0,0,0,3
3,0,0,2,0,0,41,41,41,41,41,0,0,43,3,42,0,0,0,0,2,3
3,0,0,3,0,0,0,0,0,0,0,0,0,43,3,42,0,0,0,0,3,3
3,0,0,3,0,0,3,3,3,3,3,3,3,3,3,42,0,0,0,2,3,3
3,0,0,3,0,0,41,41,41,41,41,41,41,41,41,0,0,0,0,3,3,3
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3
3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3
3,0,0,3,2,2,2,2,2,2,2,2,2,2,0,0,0,3,3,3,3,3
